#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
ConnectedSpatiotemporalRegion_subClassOf_SpatiotemporalRegion         1         479                 477            1895.00        1144.00        751.00         27             474.56              16.89               456.00              351            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
ConnectedTemporalRegion_subClassOf_TemporalRegion                     2         479                 477            1851.00        1031.00        820.00         27             474.37              17.26               466.00              321            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
Continuant_subClassOf_Entity                                          3         479                 477            1400.00        834.00         566.00         14             476.86              23.14               324.00              177            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
DNA_Molecule_subClassOf_Nucleic_Acid                                  4         479                 477            2159.00        1303.00        856.00         32             472.81              15.44               494.00              393            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
DependentContinuant_subClassOf_Continuant                             5         479                 477            2124.00        1211.00        913.00         33             473.18              15.18               501.00              383            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
End_Boundary_of_Interval_subClassOf_Start_Boundary_of_Interval        6         479                 478            1042.00        560.00         482.00         8              477.75              31.00               248.00              105            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
FiatObjectPart_subClassOf_MaterialEntity                              7         479                 477            2017.00        1234.00        783.00         29             473.97              16.21               470.00              372            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
FiatProcessPart_subClassOf_ProcessualEntity                           8         479                 477            2273.00        1337.00        936.00         35             472.20              15.26               534.00              424            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
Gene_subClassOf_DNA_Segment                                           9         479                 479            798.00         337.00         461.00         4              478.25              61.00               244.00              53             
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
Gene_subClassOf_RNA_Molecule                                          10        479                 478            777.00         326.00         451.00         4              478.25              57.00               228.00              53             
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
GenericallyDependentContinuant_subClassOf_DependentContinuant         11        479                 477            1562.00        952.00         610.00         18             476.28              19.94               359.00              239            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
IndependentContinuant_subClassOf_Continuant                           12        479                 477            2151.00        1190.00        961.00         34             472.38              15.06               512.00              362            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
Linkage_Interval_subClassOf_DNA_Segment                               13        479                 478            1423.00        800.00         623.00         15             476.47              23.33               350.00              187            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
MaterialEntity_subClassOf_IndependentContinuant                       14        479                 477            1982.00        1193.00        789.00         29             473.97              15.83               459.00              372            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
Nucleic_Acid_subClassOf_Biological_Interval                           15        479                 479            709.00         299.00         410.00         4              478.25              44.25               177.00              53             
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
Object_subClassOf_MaterialEntity                                      16        479                 477            1777.00        1018.00        759.00         24             475.21              18.17               436.00              300            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
ObjectAggregate_subClassOf_MaterialEntity                             17        479                 477            1501.00        885.00         616.00         17             476.47              21.18               360.00              218            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
ObjectBoundary_subClassOf_IndependentContinuant                       18        479                 477            2160.00        1196.00        964.00         28             473.86              18.39               515.00              311            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
